CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
597442.832051893, 227.943695068, 168.667144775, 285.992889404, 168.601379395, 353.875000000, 185.571578979, 411.673278809, 185.158599854, -97.886573792, -59.830047607, 538.070983887, -32.993095398, -59.516395569, 536.651000977, 3303
597442.848732460, 225.536117554, 168.899398804, 283.171997070, 168.430908203, 351.496643066, 185.631515503, 408.803894043, 184.904647827, -100.678092957, -59.740993500, 538.585205078, -35.765701294, -59.516990662, 537.137817383, 3304
597442.865413027, 223.023529053, 168.718414307, 281.079284668, 168.412994385, 349.388061523, 185.745040894, 406.353942871, 185.434555054, -103.507202148, -59.597763062, 538.557250977, -38.591384888, -59.474613190, 537.443664551, 3305
597442.882093595, 220.198211670, 168.646545410, 277.764221191, 167.985794067, 346.789489746, 185.829528809, 403.890228271, 185.205139160, -106.471221924, -59.373889923, 537.634521484, -41.710277557, -59.348781586, 536.595520020, 3306
597442.898774162, 218.027877808, 168.532882690, 275.436523438, 167.959411621, 344.049377441, 185.996017456, 401.438659668, 185.180175781, -109.525558472, -59.265628815, 537.579101562, -44.797046661, -59.287155151, 536.170349121, 3307
597442.915454729, 215.431884766, 169.279449463, 272.481170654, 168.481231689, 341.736511230, 186.455535889, 399.213470459, 185.456298828, -112.525688171, -59.017921448, 536.923706055, -47.960346222, -59.099975586, 535.015136719, 3308
597442.932135296, 212.360580444, 169.525665283, 269.422302246, 168.271896362, 338.798706055, 186.499725342, 395.857055664, 185.085632324, -115.727508545, -58.776176453, 536.357971191, -51.278469086, -58.979324341, 534.248291016, 3309
597442.948815863, 209.224304199, 169.759063721, 266.598571777, 168.651412964, 336.333190918, 186.917648315, 393.457275391, 185.065277100, -118.830642700, -58.428771973, 534.996704102, -54.594913483, -58.793437958, 532.854064941, 3310
597442.965496431, 206.471603394, 170.613098145, 264.321716309, 168.749801636, 333.558044434, 187.213623047, 391.036590576, 185.407501221, -121.934463501, -58.051086426, 534.115234375, -57.811557770, -58.630134583, 532.004516602, 3311
597442.982167898, 203.596786499, 170.343414307, 261.745147705, 168.733718872, 330.369750977, 187.374679565, 388.160339355, 185.749908447, -125.133125305, -57.796630859, 534.079345703, -60.993770599, -58.554645538, 531.932800293, 3312
597442.998841512, 200.379882812, 170.335174561, 258.563293457, 168.886367798, 327.401062012, 187.517211914, 385.358520508, 185.547790527, -128.379898071, -57.526062012, 533.789794922, -64.255401611, -58.423332214, 531.222412109, 3313
597443.015515126, 197.537765503, 170.596466064, 255.865402222, 169.011459351, 324.596557617, 187.700363159, 381.791320801, 185.379943848, -131.703125000, -57.297565460, 533.905456543, -67.587638855, -58.437187195, 531.781982422, 3314
597443.032188740, 194.498260498, 170.877502441, 252.627075195, 168.950256348, 321.474548340, 188.072677612, 379.209686279, 186.391204834, -135.068298340, -57.043174744, 534.072021484, -70.936119080, -58.322601318, 531.803344727, 3315
597443.048862354, 191.675598145, 171.197692871, 250.290466309, 169.148529053, 318.877532959, 188.335296631, 376.550048828, 186.545593262, -138.421295166, -56.794612885, 534.409240723, -74.195228577, -58.213378906, 532.194458008, 3316
597443.065535968, 188.925338745, 171.551055908, 247.523864746, 169.638702393, 316.400878906, 188.451171875, 373.456024170, 186.279220581, -141.722183228, -56.543346405, 534.976257324, -77.407531738, -58.134872437, 532.765563965, 3317
597443.082209582, 186.573211670, 172.124481201, 244.812179565, 169.779632568, 313.847473145, 188.951339722, 370.858337402, 186.880767822, -144.911376953, -56.217632294, 535.264953613, -80.550224304, -57.979797363, 533.194335938, 3318
597443.098883196, 183.997528076, 172.402130127, 242.312988281, 170.044891357, 310.937744141, 189.443328857, 368.305603027, 187.371124268, -148.102539062, -55.924983978, 536.142211914, -83.615585327, -57.864055634, 534.290161133, 3319
597443.115556811, 181.630538940, 172.623901367, 239.682418823, 170.949081421, 308.690612793, 189.640838623, 365.875946045, 187.855697632, -151.020217896, -55.536495209, 536.364135742, -86.505867004, -57.602886200, 534.898010254, 3320
597443.132230425, 179.030975342, 173.058227539, 237.233520508, 171.207427979, 306.095642090, 189.689605713, 363.596191406, 187.959259033, -153.941894531, -55.189231873, 536.675048828, -89.340415955, -57.321830750, 535.351867676, 3321
597443.148904039, 176.291229248, 173.388885498, 234.856613159, 171.654937744, 303.609130859, 190.310958862, 361.164489746, 188.279403687, -156.693161011, -54.744186401, 536.422485352, -92.074577332, -56.938159943, 535.273193359, 3322
597443.165577653, 174.739990234, 173.803939819, 232.506927490, 171.649780273, 301.815490723, 190.168121338, 359.241210938, 188.536071777, -159.118774414, -54.339046478, 536.206054688, -94.541038513, -56.529094696, 534.926635742, 3323
597443.182251267, 172.593109131, 173.767257690, 230.808471680, 171.867187500, 299.879089355, 190.597473145, 357.104980469, 188.813461304, -161.407928467, -53.975875854, 536.255371094, -96.874122620, -56.208671570, 535.136291504, 3324
597443.198924881, 170.541152954, 173.848663330, 228.421676636, 171.829772949, 297.967346191, 190.391159058, 354.901458740, 188.872314453, -163.528656006, -53.649200439, 535.824829102, -99.139724731, -55.910858154, 534.907653809, 3325
