#, timestampMs, accelX, accelY, accelZ, gyroX, gyroY, gyroZ
96, 47375937.784843, 6.927623, -0.357933, 7.095815, 0.000000, 0.000000, 0.000000
97, 47375940.286197, 6.930017, -0.353145, 7.098209, 0.000000, 0.000000, 0.000000
98, 47375940.286197, 0.000000, 0.000000, 0.000000, 2.578733, 0.389099, -0.579834
99, 47375942.787916, 0.000000, 0.000000, 0.000000, 2.670286, 0.297546, -0.701904
100, 47375942.787916, 6.930017, -0.353145, 7.067085, 0.000000, 0.000000, 0.000000
101, 47375945.288958, 6.937200, -0.319626, 7.052720, 0.000000, 0.000000, 0.000000
102, 47375945.288958, 0.000000, 0.000000, 0.000000, 2.639768, 0.297546, -0.640869
103, 47375947.789374, 0.000000, 0.000000, 0.000000, 2.639768, 0.267029, -0.671386
104, 47375947.789374, 6.939594, -0.341174, 7.033566, 0.000000, 0.000000, 0.000000
105, 47375950.290833, 0.000000, 0.000000, 0.000000, 2.517698, 0.389099, -0.701904
106, 47375950.290833, 6.934805, -0.333991, 7.038354, 0.000000, 0.000000, 0.000000
107, 47375952.791354, 6.934805, -0.341174, 7.040749, 0.000000, 0.000000, 0.000000
108, 47375952.791354, 0.000000, 0.000000, 0.000000, 2.609251, 0.480651, -0.732421
109, 47375955.289895, 6.918046, -0.343568, 7.026383, 0.000000, 0.000000, 0.000000
110, 47375955.289895, 0.000000, 0.000000, 0.000000, 2.517698, 0.358581, -0.854492
111, 47375957.788489, 6.910863, -0.324414, 7.023989, 0.000000, 0.000000, 0.000000
112, 47375957.788489, 0.000000, 0.000000, 0.000000, 2.365111, 0.358581, -0.640869
113, 47375960.288177, 6.913258, -0.350751, 7.007230, 0.000000, 0.000000, 0.000000
114, 47375960.288177, 0.000000, 0.000000, 0.000000, 2.426146, 0.389099, -0.823974
115, 47375962.788958, 6.920440, -0.357933, 7.021595, 0.000000, 0.000000, 0.000000
116, 47375962.788958, 0.000000, 0.000000, 0.000000, 2.487181, 0.480651, -0.854492
117, 47375965.289843, 6.913258, -0.367510, 7.019201, 0.000000, 0.000000, 0.000000
118, 47375965.289843, 0.000000, 0.000000, 0.000000, 2.548216, 0.358581, -0.854492
119, 47375967.790781, 0.000000, 0.000000, 0.000000, 2.487181, 0.144958, -0.854492
120, 47375967.790781, 6.896498, -0.350751, 7.033566, 0.000000, 0.000000, 0.000000
121, 47375970.292708, 6.894104, -0.369904, 7.038354, 0.000000, 0.000000, 0.000000
122, 47375970.292708, 0.000000, 0.000000, 0.000000, 2.456663, 0.083923, -0.793456
123, 47375972.794270, 0.000000, 0.000000, 0.000000, 2.517698, 0.114441, -0.946044
124, 47375972.794270, 6.896498, -0.372298, 7.083844, 0.000000, 0.000000, 0.000000
125, 47375975.294479, 6.925229, -0.377087, 7.110180, 0.000000, 0.000000, 0.000000
126, 47375975.294479, 0.000000, 0.000000, 0.000000, 2.456663, 0.022888, -0.885009
