#, cameraTimestamp, cameraDelay, blinkProcTime, fx, fy, cx, cy, width, height, leftEyeX, leftEyeY, rightEyeX, rightEyeY, headPoseX, headPoseY, headPoseZ, headAngleX, headAngleY, headAngleZ, leftEye3DX, leftEye3DY, leftEye3DZ, rightEye3DX, rightEye3DY, rightEye3DZ, lux, deviceAccelerationX, deviceAccelerationY, deviceAccelerationZ, deviceGyrscopeX, deviceGyrscopeY, deviceGyrscopeZ
611, 47382557.595578, 35.857221, 5.211042, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.319016, 246.407394, 343.796509, 245.968140, 1.206986, 46.545242, 430.089600, -0.173227, -0.021544, 0.022048, 7.228359, -28.774546, 418.557312, 7.783597, 32.358997, 419.810120, 343.868439, 0.436629, 0.436629, 0.436629, -0.037551, -0.210523, 0.034088
612, 47382568.700786, 30.458471, 4.722812, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.219498, 245.174759, 343.766190, 244.888512, 1.476114, 44.959774, 428.650421, -0.175336, -0.022927, 0.018182, 5.901677, -28.645264, 417.208344, 6.267720, 32.384155, 418.575226, 343.868439, 0.511403, 0.511403, 0.511403, -0.046605, -0.187620, 0.038349
613, 47382579.806047, 28.310919, 4.799948, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.813263, 244.038879, 343.742065, 243.723640, 1.799145, 43.486519, 429.005981, -0.174586, -0.029470, 0.017167, 4.496365, -28.622448, 417.299622, 4.898168, 32.917294, 419.108765, 343.868439, 0.586723, 0.586723, 0.586723, -0.051932, -0.140748, 0.043676
614, 47382590.911307, 26.384513, 6.007657, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.831390, 242.712349, 343.346481, 242.746170, 1.919599, 42.210365, 429.002258, -0.173146, -0.029122, 0.017712, 3.315715, -28.142696, 417.257324, 3.288877, 32.889988, 419.040497, 344.257965, 0.403463, 0.403463, 0.403463, -0.051932, -0.109323, 0.039415
615, 47382602.016568, 35.089564, 5.192135, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.014084, 242.250153, 343.268066, 242.151756, 2.566201, 41.203545, 428.558807, -0.171958, -0.033596, 0.016243, 2.594179, -28.006687, 416.640198, 2.726418, 33.854332, 418.730316, 344.257965, 0.078742, 0.078742, 0.078742, -0.055660, -0.113051, 0.038882
616, 47382613.121776, 34.876231, 5.222864, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.845169, 241.776665, 342.903229, 241.623314, 2.595297, 40.671337, 428.045685, -0.176840, -0.026860, 0.020196, 1.956732, -27.562603, 416.565430, 2.149894, 34.014076, 418.182129, 344.257965, 0.124441, 0.124441, 0.124441, -0.051399, -0.132226, 0.038882
617, 47382624.227036, 32.735607, 4.818907, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.466217, 241.184090, 342.216339, 240.922012, 3.505797, 39.896252, 429.403351, -0.169421, -0.040287, 0.018874, 1.112916, -26.772757, 417.138519, 1.437901, 34.593742, 419.660339, 344.257965, 0.151492, 0.151492, 0.151492, -0.041812, -0.137020, 0.033556
618, 47382635.332297, 32.862689, 4.686770, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.486282, 240.439911, 342.258911, 240.194389, 3.526697, 39.068436, 429.065582, -0.166183, -0.031873, 0.018863, 0.234547, -26.813742, 416.978058, 0.533290, 34.510086, 418.940094, 344.257965, 0.177156, 0.177156, 0.177156, -0.031692, -0.134356, 0.027164
619, 47382646.437557, 31.007534, 4.794531, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.071625, 239.573883, 341.780136, 239.319572, 4.074709, 38.101273, 428.238403, -0.161578, -0.038455, 0.017850, -0.818685, -26.163124, 415.804016, -0.515668, 34.951092, 418.211914, 344.257965, 0.229554, 0.229554, 0.229554, -0.021039, -0.126900, 0.021305
620, 47382657.542818, 29.761127, 4.975469, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.741501, 239.278091, 341.610199, 238.626236, 4.244754, 37.266476, 428.204132, -0.176848, -0.036957, 0.022917, -1.655243, -25.995760, 416.393005, -0.874572, 35.388367, 418.666443, 344.699646, 0.350888, 0.350888, 0.350888, -0.006658, -0.099203, 0.016512
