frameCounter, trackingStatus, timeLogged, frameNumber
2072,2,714307.3390, 5841
2073,2,714307.3563, 5842
2074,2,714307.3737, 5843
2075,2,714307.3888, 5844
2076,2,714307.4053, 5845
2077,2,714307.4215, 5846
2078,2,714307.4514, 5847
2079,2,714307.4672, 5848
2080,2,714307.4837, 5849
2081,2,714307.4993, 5850
2082,2,714307.5163, 5851
2083,2,714307.5344, 5852
2084,2,714307.5504, 5853
2085,2,714307.5663, 5854
2086,2,714307.5819, 5855
2087,2,714307.5983, 5856
2088,2,714307.6139, 5857
2089,2,714307.6299, 5858
2090,2,714307.6451, 5859
2091,2,714307.6598, 5860
2092,2,714307.6752, 5861
2093,2,714307.6917, 5862
2094,2,714307.7065, 5863
2095,2,714307.7248, 5864
2096,2,714307.7404, 5865
2097,2,714307.7573, 5866
2098,2,714307.7728, 5867
2099,2,714307.7886, 5868
2100,2,714307.8054, 5869
2101,2,714307.8212, 5870
2102,2,714307.8544, 5871
2103,2,714307.8663, 5872
2104,2,714307.8835, 5873
2105,2,714307.9014, 5874
2106,2,714307.9180, 5875
2107,2,714307.9316, 5876
2108,2,714307.9487, 5877
2109,2,714307.9624, 5878
2110,2,714307.9780, 5879
2111,2,714307.9944, 5880
2112,2,714308.0121, 5881
2113,2,714308.0281, 5882
2114,2,714308.0442, 5883
2115,2,714308.0609, 5884
2116,2,714308.0747, 5885
2117,2,714308.0930, 5886
2118,2,714308.1095, 5887
2119,2,714308.1251, 5888
2120,2,714308.1428, 5889
2121,2,714308.1592, 5890
2122,2,714308.1744, 5891
2123,2,714308.1911, 5892
2124,2,714308.2069, 5893
2125,2,714308.2369, 5894
2126,2,714308.2530, 5895
2127,2,714308.2692, 5896
2128,2,714308.2838, 5897
2129,2,714308.3012, 5898
2130,2,714308.3155, 5899
2131,2,714308.3308, 5900
2132,2,714308.3481, 5901
2133,2,714308.3642, 5902
2134,2,714308.3800, 5903
2135,2,714308.3965, 5904
2136,2,714308.4145, 5905
2137,2,714308.4303, 5906
2138,2,714308.4468, 5907
2139,2,714308.4633, 5908
2140,2,714308.4787, 5909
2141,2,714308.4974, 5910
2142,2,714308.5106, 5911
2143,2,714308.5268, 5912
2144,2,714308.5418, 5913
2145,2,714308.5585, 5914
2146,2,714308.5719, 5915
2147,2,714308.5878, 5916
2148,2,714308.6036, 5917
2149,2,714308.6348, 5918
2150,2,714308.6515, 5919
2151,2,714308.6678, 5920
2152,2,714308.6848, 5921
2153,2,714308.7004, 5922
2154,2,714308.7161, 5923
2155,2,714308.7325, 5924
2156,2,714308.7503, 5925
2157,2,714308.7665, 5926
2158,2,714308.7826, 5927
2159,2,714308.7972, 5928
2160,2,714308.8144, 5929
2161,2,714308.8297, 5930
2162,2,714308.8446, 5931
2163,2,714308.8609, 5932
2164,2,714308.8779, 5933
2165,2,714308.8923, 5934
2166,2,714308.9083, 5935
2167,2,714308.9234, 5936
2168,2,714308.9396, 5937
