CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
519357.3412, 121.4760, 20.1060, 555.9556, 0.1427, 0.0425, 0.1294, 121.4760, 20.1060, 555.9556, 0.1427, 0.0425, 0.1294, 1061
519357.3579, 119.2727, 19.9221, 557.8812, 0.1488, 0.0406, 0.1266, 119.2727, 19.9221, 557.8812, 0.1488, 0.0406, 0.1266, 1062
519357.3745, 116.7882, 19.7304, 559.8010, 0.1345, 0.0500, 0.1271, 116.7882, 19.7304, 559.8010, 0.1345, 0.0500, 0.1271, 1063
519357.3912, 114.5253, 19.7226, 562.5933, 0.1384, 0.0494, 0.1202, 114.5253, 19.7226, 562.5933, 0.1384, 0.0494, 0.1202, 1064
519357.4079, 111.0416, 19.2764, 561.8298, 0.1534, 0.0370, 0.1174, 111.0416, 19.2764, 561.8298, 0.1534, 0.0370, 0.1174, 1065
519357.4246, 106.9434, 19.5342, 557.1654, 0.1597, 0.0242, 0.1090, 106.9434, 19.5342, 557.1654, 0.1597, 0.0242, 0.1090, 1066
519357.4413, 102.8771, 19.4711, 556.3894, 0.1419, 0.0239, 0.1105, 102.8771, 19.4711, 556.3894, 0.1419, 0.0239, 0.1105, 1067
519357.4580, 99.0292, 19.5078, 555.4160, 0.1260, 0.0272, 0.1102, 99.0292, 19.5078, 555.4160, 0.1260, 0.0272, 0.1102, 1068
519357.4747, 95.4104, 19.0279, 558.1530, 0.1762, 0.0286, 0.0962, 95.4104, 19.0279, 558.1530, 0.1762, 0.0286, 0.0962, 1069
519357.4914, 91.1769, 19.2343, 555.6415, 0.1479, 0.0200, 0.0957, 91.1769, 19.2343, 555.6415, 0.1479, 0.0200, 0.0957, 1070
519357.5080, 87.2326, 18.8949, 556.8964, 0.1532, 0.0162, 0.0938, 87.2326, 18.8949, 556.8964, 0.1532, 0.0162, 0.0938, 1071
519357.5247, 82.8708, 18.6101, 558.0692, 0.1833, 0.0125, 0.0871, 82.8708, 18.6101, 558.0692, 0.1833, 0.0125, 0.0871, 1072
519357.5414, 78.6705, 19.1358, 554.2561, 0.1621, 0.0107, 0.0753, 78.6705, 19.1358, 554.2561, 0.1621, 0.0107, 0.0753, 1073
519357.5581, 74.7796, 19.0914, 558.7095, 0.1712, 0.0026, 0.0746, 74.7796, 19.0914, 558.7095, 0.1712, 0.0026, 0.0746, 1074
519357.5744, 70.3468, 19.1770, 560.1267, 0.1799, 0.0032, 0.0747, 70.3468, 19.1770, 560.1267, 0.1799, 0.0032, 0.0747, 1075
519357.5911, 66.1780, 19.4417, 561.9518, 0.1610, 0.0161, 0.0640, 66.1780, 19.4417, 561.9518, 0.1610, 0.0161, 0.0640, 1076
519357.6078, 61.8608, 19.3232, 563.5094, 0.1894, 0.0091, 0.0668, 61.8608, 19.3232, 563.5094, 0.1894, 0.0091, 0.0668, 1077
519357.6245, 56.6790, 19.7952, 558.6923, 0.1867, 0.0214, 0.0583, 56.6790, 19.7952, 558.6923, 0.1867, 0.0214, 0.0583, 1078
519357.6412, 53.0923, 19.6879, 564.3203, 0.1808, 0.0009, 0.0537, 53.0923, 19.6879, 564.3203, 0.1808, 0.0009, 0.0537, 1079
519357.6578, 48.5727, 19.8978, 562.7696, 0.1736, 0.0153, 0.0510, 48.5727, 19.8978, 562.7696, 0.1736, 0.0153, 0.0510, 1080
