captureTime,frameNumber,leftEyes[0].x,leftEyes[0].y,leftEyes[1].x,leftEyes[1].y,rightEyes[0].x,rightEyes[0].y,rightEyes[1].x,rightEyes[1].y,leftEyes[0].x.2d,leftEyes[0].y.2d,leftEyes[1].x.2d,leftEyes[1].y.2d,rightEyes[0].x.2d,rightEyes[0].y.2d,rightEyes[1].x.2d,rightEyes[1].y.2d
365653.8245,341,146.8677216,268.7143555,208.0630798,268.2381592,184.8150635,263.5784607,245.75737,263.2696838,143.6365967,268.5264282,204.5862122,268.0096741,181.8070984,263.5040588,242.7555847,263.1035767
365653.8409,342,148.6056213,268.2836609,209.6128387,267.8165283,186.9493103,263.5585022,247.8975525,263.0079041,145.3700714,268.5377502,206.3618774,268.0302429,183.5423279,263.5285645,244.49823,263.1117859
365653.8581,343,150.6907654,267.8547363,211.707077,267.4614868,189.1228333,262.9859314,249.7060242,262.7471619,147.5285034,268.4750977,208.4118652,267.9767761,185.6712036,263.4770813,246.5094604,263.0795288
365653.8747,344,153.4100647,267.6654663,214.2813721,267.5985718,191.436615,262.9766235,252.5563202,262.8737183,150.0269165,268.3815002,210.9577484,267.9477539,188.1615143,263.4064636,249.0320587,263.046814
365653.8919,345,156.327179,267.2373047,216.9307709,266.3570557,194.4662781,262.6342163,255.1712646,261.8031311,152.9316711,268.2414246,213.7504272,267.7370911,191.0871277,263.2970581,251.7986145,262.8687134
365653.9081,346,159.2827606,266.9708252,219.9007263,266.4075928,197.5076904,262.6878357,258.0426636,262.0708618,156.1327362,268.0845337,216.8825684,267.5783691,194.2763214,263.2007446,254.9428101,262.741272
365653.9244,347,163.0237579,266.6143188,223.0464325,265.9770203,201.2681122,262.3512268,261.6929626,261.8676147,159.7211456,267.9091797,220.3079987,267.3899231,197.8532104,263.0940552,258.4188843,262.6127319
365653.941,348,166.6606903,266.1759033,227.0956421,265.5140991,205.2017517,262.0318604,265.9506226,261.4978333,163.6284485,267.6186829,224.1220093,267.0795593,201.7973633,262.8945618,262.3239136,262.4048157
365653.9585,349,170.6012421,265.8328857,230.7270355,264.9644165,209.1337128,261.8190918,269.998291,261.6222229,167.7745819,267.2808838,228.1972961,266.730957,205.9740448,262.6434937,266.4897766,262.1762085
365653.9744,350,174.9620209,265.491272,234.9897156,264.6218872,214.0016479,261.7848816,274.0388184,261.5019836,172.2963409,266.9331055,232.5250854,266.3417358,210.5693665,262.4031982,270.8812866,261.9501648
365653.9914,351,179.4514008,264.5179443,239.5822601,263.9549561,218.6529999,261.0355835,278.9809875,261.1106262,177.0098572,266.4742737,237.1478729,265.8895264,215.3917236,262.0636292,275.6123962,261.6723938
365654.0086,352,184.0177002,263.963501,244.3292694,263.9586182,223.7830811,260.9147034,283.5771179,261.2536316,181.9542999,266.0037842,241.9785004,265.5009766,220.4908142,261.7568359,280.5704956,261.4806824
365654.0247,353,188.8790283,263.8324585,248.9336395,263.6544189,228.6529999,261.1656189,288.6032715,261.02005,187.0345612,265.5950623,246.9738007,265.1388855,225.7232971,261.5538635,285.7304077,261.3130798
365654.0412,354,193.9372406,263.3787231,253.7772217,263.2151489,233.6924438,261.2693787,293.3763428,260.874176,192.2925873,265.200531,252.1120453,264.7698975,231.0989532,261.3773193,290.9781799,261.1497192
365654.0582,355,199.7264404,262.9391479,259.0109863,262.9006958,239.4447021,261.2954407,298.8246765,261.0725098,197.8417053,264.7945862,257.4056702,264.4180908,236.755249,261.2401428,296.4230347,261.0384216
365654.075,356,204.7302246,262.4031982,264.5160522,262.2079468,244.6989441,261.0716858,304.0941162,260.6186218,203.3845825,264.3672791,262.9069519,264.0079651,242.4599762,261.0926209,302.0328979,260.8895874
365654.0913,357,210.6726532,262.4620972,269.8019409,262.0595093,250.5244446,261.1474609,310.0357361,261.0529785,209.1563873,263.9996948,268.5163269,263.6505737,248.3745117,260.9990845,307.8083801,260.8278198
365654.1076,358,216.0187836,262.2188721,275.6760864,261.9727173,256.1672058,261.089325,315.6581421,261.0708923,214.9161835,263.655304,274.2420349,263.3262024,254.2945862,260.9174805,313.687439,260.7896729
