CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
3430.010022332, 265.286376953, 269.965393066, 308.654632568, 268.493682861, 372.405273438, 285.675537109, 415.777343750, 284.132843018, -69.912521362, 66.381240845, 651.032287598, -10.841511726, 64.367202759, 651.439208984, 8976
3430.030482690, 269.394775391, 269.338134766, 313.271423340, 268.756225586, 374.844970703, 285.712890625, 419.494750977, 284.365020752, -65.563262939, 67.257530212, 663.470581055, -4.586908817, 65.393760681, 658.383117676, 8977
3430.050943048, 272.613708496, 269.624267578, 316.217163086, 268.817596436, 379.107849121, 285.716247559, 423.173767090, 284.445098877, -60.365749359, 66.645469666, 655.511413574, -0.518399894, 64.953353882, 653.087646484, 8978
3430.069635773, 277.840759277, 269.785217285, 321.031494141, 268.896118164, 383.426330566, 285.547973633, 426.742858887, 284.178863525, -53.757381439, 67.347366333, 662.365478516, 6.162124634, 65.783164978, 662.739440918, 8979
3430.090043936, 280.753601074, 269.839172363, 324.839874268, 269.368988037, 387.462646484, 285.890869141, 431.773529053, 284.385223389, -49.085662842, 66.748291016, 653.861938477, 11.298583031, 65.347961426, 653.862426758, 8980
3430.110452100, 283.347595215, 270.344604492, 327.976776123, 269.076965332, 389.332092285, 285.717224121, 434.082519531, 284.254180908, -45.915199280, 67.544029236, 659.362731934, 15.747474670, 65.693962097, 660.258544922, 8981
3430.133294991, 287.113464355, 269.804016113, 331.690246582, 268.623962402, 392.872558594, 286.307495117, 437.578460693, 284.589813232, -40.831005096, 67.753387451, 661.040832520, 20.939147949, 65.793357849, 662.157836914, 8982
3430.153839418, 290.068969727, 269.806945801, 334.487304688, 268.409484863, 395.809204102, 286.120727539, 440.049560547, 284.580749512, -36.750778198, 67.645370483, 661.231811523, 24.918117523, 65.900459290, 664.854064941, 8983
3430.174383846, 293.582397461, 270.443420410, 336.654724121, 269.446197510, 398.369628906, 286.826538086, 442.896087646, 285.073272705, -32.244335175, 69.350769043, 668.665222168, 27.731145859, 66.457427979, 659.954528809, 8984
3430.194928273, 295.818359375, 270.380249023, 338.339904785, 269.355590820, 401.649047852, 286.138000488, 445.622772217, 285.225280762, -28.763168335, 67.996742249, 660.710693359, 29.712339401, 65.720680237, 652.360778809, 8985
3430.213546207, 297.242553711, 270.360107422, 340.705596924, 268.082092285, 403.912689209, 286.192504883, 447.405029297, 285.698699951, -26.538188934, 67.366912842, 654.431884766, 33.159156799, 65.615837097, 656.800537109, 8986
3430.233954370, 299.982116699, 270.031799316, 343.133056641, 268.906646729, 405.944396973, 286.428466797, 450.136596680, 284.985107422, -22.973649979, 67.859481812, 659.802551270, 36.393661499, 65.484428406, 654.830932617, 8987
3430.254362533, 301.979248047, 270.302612305, 345.476776123, 268.739227295, 405.845520020, 285.863342285, 451.408538818, 284.967712402, -20.709154129, 69.348472595, 676.169433594, 40.101711273, 66.179893494, 663.057983398, 8988
3430.277279126, 303.863647461, 269.952606201, 346.149749756, 268.690093994, 408.321533203, 286.022705078, 453.451873779, 284.910614014, -17.919542313, 68.733184814, 671.537658691, 40.407337189, 65.080673218, 652.908935547, 8989
3430.297823554, 304.268676758, 269.494323730, 348.032165527, 269.109222412, 410.005493164, 285.930969238, 454.192016602, 284.846160889, -17.096643448, 67.329925537, 661.645874023, 43.552452087, 66.195899963, 661.609130859, 8990
3430.318367981, 305.621582031, 270.077819824, 349.751586914, 268.784027100, 411.429779053, 286.050476074, 455.841430664, 284.980895996, -15.207524300, 67.768295288, 661.199829102, 45.976501465, 66.126045227, 662.287292480, 8991
3430.338912408, 306.451782227, 269.619140625, 349.914428711, 269.509246826, 413.483154297, 286.364562988, 457.169433594, 285.251373291, -13.867426872, 66.720367432, 652.036254883, 45.601463318, 65.934875488, 653.667846680, 8992
3430.357642289, 307.128265381, 269.750366211, 350.470520020, 269.414703369, 412.625915527, 286.149597168, 457.648376465, 285.252685547, -13.170722008, 67.857055664, 663.606201172, 46.404941559, 65.931983948, 654.285461426, 8993
3430.378134092, 308.405151367, 269.749450684, 350.747070312, 268.960968018, 414.695068359, 286.035522461, 458.096038818, 285.242492676, -11.292388916, 67.162322998, 657.664306641, 46.692203522, 65.486587524, 653.030944824, 8994
3430.398625895, 307.458923340, 269.384277344, 351.583953857, 269.113281250, 414.327758789, 286.998596191, 457.858154297, 285.628631592, -12.520152092, 67.117881775, 653.252441406, 48.423553467, 66.672889709, 661.096069336, 8995
3430.419117699, 308.477416992, 270.170227051, 351.101989746, 269.100585938, 414.336364746, 286.681335449, 458.010131836, 285.440093994, -11.249685287, 68.237007141, 660.934753418, 47.413589478, 66.049873352, 656.320129395, 8996
3430.437659393, 307.586364746, 269.500122070, 351.330047607, 268.835662842, 413.769592285, 286.732849121, 458.082946777, 285.848754883, -12.440473557, 67.547760010, 658.392822266, 47.807300568, 66.265075684, 657.475402832, 8997
3430.458015628, 308.144958496, 269.992614746, 350.263854980, 268.916900635, 413.992523193, 286.023071289, 457.400878906, 285.543487549, -11.708550453, 67.667091370, 661.008544922, 46.136455536, 65.816413879, 654.533752441, 8998
3430.478371862, 307.487304688, 269.753906250, 349.975433350, 268.965270996, 414.221618652, 286.422790527, 456.336151123, 284.544494629, -12.495181084, 67.084106445, 654.292236328, 46.150081635, 65.747634888, 660.288940430, 8999
3430.501330233, 306.903015137, 269.979980469, 349.862854004, 268.983612061, 412.044525146, 286.259216309, 456.331390381, 285.262847900, -13.538742065, 68.376655579, 666.345520020, 45.932754517, 66.171936035, 659.461975098, 9000
3430.521822036, 305.604492188, 270.020935059, 349.116394043, 269.155151367, 411.143127441, 286.566284180, 455.044189453, 285.855621338, -15.281682014, 68.297698975, 663.235168457, 45.172554016, 67.109931946, 663.459167480, 9001
3430.542313840, 304.241790771, 269.544006348, 347.916809082, 268.698394775, 410.888916016, 286.375061035, 454.702026367, 284.948822021, -16.958557129, 66.963211060, 654.784667969, 43.081783295, 65.507949829, 656.896179199, 9002
3430.562805643, 303.298706055, 269.478942871, 346.545349121, 269.147918701, 408.375122070, 286.126525879, 452.273925781, 285.301910400, -18.582534790, 67.972564697, 666.663391113, 41.687671661, 66.859809875, 664.723388672, 9003
3430.581642242, 300.818450928, 269.479125977, 343.711364746, 268.910125732, 406.848480225, 286.993347168, 450.197265625, 285.063507080, -21.807323456, 67.811721802, 659.261596680, 37.406978607, 65.933029175, 658.730163574, 9004
3430.602081690, 299.482971191, 269.516479492, 342.538635254, 268.919403076, 404.669769287, 286.134887695, 448.320648193, 285.267700195, -23.876338959, 67.907051086, 665.678527832, 36.071254730, 66.610595703, 663.920593262, 9005
3430.622521139, 297.485839844, 269.982360840, 340.293334961, 269.006072998, 402.485412598, 286.100769043, 446.873046875, 285.085205078, -26.714418411, 68.356170654, 667.101135254, 32.645111084, 65.923385620, 657.718139648, 9006
3430.645241666, 294.605560303, 269.595428467, 337.559509277, 268.871978760, 400.423767090, 286.210815430, 443.878540039, 284.955749512, -30.447895050, 67.506134033, 660.711791992, 28.955953598, 65.923042297, 659.416625977, 9007
3430.665817797, 291.542724609, 270.736694336, 335.398712158, 268.398101807, 397.190551758, 285.987365723, 441.531616211, 284.966430664, -34.744701385, 68.279067993, 662.039794922, 26.017045975, 65.729591370, 660.598144531, 9008
3430.686393929, 289.207702637, 270.089172363, 333.133392334, 269.093261719, 395.136657715, 286.053527832, 439.064331055, 285.427337646, -37.858592987, 67.646705627, 659.808654785, 22.931003571, 66.674263000, 661.968383789, 9009
3430.706970061, 287.596679688, 269.713745117, 329.523529053, 268.854156494, 392.607269287, 285.700683594, 436.687866211, 284.987854004, -40.509918213, 67.863281250, 666.809509277, 17.670316696, 65.254623413, 652.467895508, 9010
3430.725593853, 283.252929688, 270.146301270, 327.051574707, 268.192169189, 389.286315918, 285.646453857, 433.040771484, 285.291168213, -46.020214081, 67.318885803, 658.978393555, 14.472997665, 65.875450134, 660.990478516, 9011
3430.746033301, 279.024169922, 270.190795898, 323.043151855, 268.835510254, 386.523803711, 286.048278809, 428.880004883, 285.082305908, -50.990612030, 66.492950439, 648.042724609, 8.938520432, 66.277801514, 661.900085449, 9012
3430.766472749, 277.869445801, 270.128112793, 319.540069580, 269.546447754, 381.423950195, 285.847351074, 425.900817871, 285.314849854, -55.009403229, 69.438484192, 678.307800293, 4.056943417, 66.515716553, 657.759704590, 9013
3430.786912197, 272.348999023, 270.510803223, 316.554687500, 268.640655518, 379.475341797, 285.673583984, 422.762573242, 285.255096436, -60.290863037, 66.743843079, 650.881408691, -0.062965892, 65.949241638, 658.660095215, 9014
3430.805537649, 270.489379883, 270.715454102, 313.997650146, 268.520263672, 377.030944824, 286.228393555, 420.821899414, 285.046356201, -63.243633270, 67.715812683, 655.260498047, -3.566024065, 65.247909546, 653.904907227, 9015
3430.825925009, 269.128967285, 270.093750000, 312.911346436, 268.440093994, 374.278259277, 285.823211670, 419.516601562, 284.923431396, -66.162239075, 68.103736877, 665.859130859, -5.066537857, 65.268386841, 655.469421387, 9016
3430.846312369, 268.349182129, 270.004882812, 310.666961670, 268.339447021, 372.953216553, 286.029479980, 417.421508789, 284.700836182, -67.678070068, 68.623748779, 670.109558105, -8.133531570, 64.927009583, 654.237792969, 9017
3430.869327222, 267.648376465, 270.102844238, 309.938293457, 269.121032715, 373.270111084, 285.745086670, 416.503784180, 285.262664795, -67.851470947, 67.682388306, 662.258056641, -9.150729179, 65.991111755, 655.650146484, 9018
3430.889850567, 267.678710938, 269.904479980, 308.534729004, 268.603179932, 373.255615234, 286.257629395, 416.226501465, 284.960693359, -67.845756531, 67.932426453, 662.561340332, -10.938763618, 64.584732056, 647.256530762, 9019
3430.910373913, 266.875427246, 270.027221680, 309.510803223, 268.944488525, 372.497192383, 286.044372559, 415.877319336, 285.200469971, -68.922782898, 67.836654663, 662.257080078, -9.760476112, 65.975753784, 657.105651855, 9020
3430.930897258, 267.161376953, 269.789855957, 309.694885254, 268.770538330, 372.517028809, 285.833374023, 416.660888672, 284.861602783, -68.738143921, 67.734832764, 664.283508301, -9.441522598, 65.173133850, 652.648437500, 9021
3430.949534894, 267.500183105, 269.608459473, 310.633392334, 268.798126221, 373.009033203, 285.716186523, 416.393249512, 284.954376221, -68.146163940, 67.405120850, 663.085693359, -8.271987915, 66.171951294, 661.735839844, 9022
3430.969922253, 266.052856445, 270.341125488, 309.581115723, 268.235137939, 373.511047363, 286.493652344, 416.022705078, 285.026000977, -68.605163574, 66.933265686, 648.508483887, -9.658265114, 65.307556152, 656.500549316, 9023
3430.990309613, 267.181030273, 270.055236816, 309.095031738, 268.811798096, 372.034729004, 286.199401855, 416.482604980, 284.726470947, -69.113830566, 68.577217102, 668.182189941, -10.211694717, 64.794876099, 649.523498535, 9024
3431.013227545, 265.914123535, 269.588104248, 308.917449951, 268.430206299, 372.546966553, 286.013244629, 416.456909180, 284.595794678, -69.442451477, 66.721687317, 654.587890625, -10.436670303, 64.332633972, 648.381042480, 9025
