CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
4214.4058, -5.9612, 116.9433, 692.8069, -0.0449, 0.0104, -0.0100, -5.9612, 116.9433, 692.8069, -0.0449, 0.0104, -0.0100, 55042
4214.4225, -0.1214, 116.9144, 692.3687, -0.0618, 0.0217, -0.0124, -0.1214, 116.9144, 692.3687, -0.0618, 0.0217, -0.0124, 55043
4214.4392, 6.4960, 116.5811, 691.4238, -0.0491, 0.0123, -0.0149, 6.4960, 116.5811, 691.4238, -0.0491, 0.0123, -0.0149, 55044
4214.4559, 12.8688, 116.4450, 690.1310, -0.0456, 0.0181, -0.0119, 12.8688, 116.4450, 690.1310, -0.0456, 0.0181, -0.0119, 55045
4214.4726, 19.2758, 116.8441, 694.6396, -0.0253, 0.0232, -0.0107, 19.2758, 116.8441, 694.6396, -0.0253, 0.0232, -0.0107, 55046
4214.4893, 25.6833, 117.2493, 696.2385, -0.0327, 0.0267, -0.0143, 25.6833, 117.2493, 696.2385, -0.0327, 0.0267, -0.0143, 55047
4214.5060, 31.7620, 116.2946, 687.7426, -0.0552, 0.0123, -0.0102, 31.7620, 116.2946, 687.7426, -0.0552, 0.0123, -0.0102, 55048
4214.5227, 37.6880, 115.6999, 684.6151, -0.0522, 0.0264, -0.0112, 37.6880, 115.6999, 684.6151, -0.0522, 0.0264, -0.0112, 55049
4214.5394, 43.9925, 115.8558, 685.0239, -0.0548, 0.0262, -0.0118, 43.9925, 115.8558, 685.0239, -0.0548, 0.0262, -0.0118, 55050
4214.5561, 50.9479, 116.9732, 692.8381, -0.0571, 0.0380, -0.0067, 50.9479, 116.9732, 692.8381, -0.0571, 0.0380, -0.0067, 55051
4214.5728, 57.3016, 116.9448, 693.7258, -0.0555, 0.0410, -0.0126, 57.3016, 116.9448, 693.7258, -0.0555, 0.0410, -0.0126, 55052
4214.5895, 62.6960, 116.8015, 692.2343, -0.0572, 0.0469, -0.0098, 62.6960, 116.8015, 692.2343, -0.0572, 0.0469, -0.0098, 55053
