frameCounter, trackingStatus, timeLogged, frameNumber
3426,2,714340.2192, 7812
3427,2,714340.2374, 7813
3428,2,714340.2514, 7814
3429,2,714340.2674, 7815
3430,2,714340.2852, 7816
3431,2,714340.3015, 7817
3432,2,714340.3180, 7818
3433,2,714340.3365, 7819
3434,2,714340.3503, 7820
3435,2,714340.3672, 7821
3436,2,714340.3840, 7822
3437,2,714340.4200, 7823
3438,2,714340.4308, 7824
3439,2,714340.4472, 7825
3440,2,714340.4617, 7826
3441,2,714340.4759, 7827
3442,2,714340.4933, 7828
3443,2,714340.5093, 7829
3444,2,714340.5239, 7830
3445,2,714340.5409, 7831
3446,2,714340.5571, 7832
3447,2,714340.5736, 7833
3448,2,714340.5886, 7834
3449,2,714340.6059, 7835
3450,2,714340.6252, 7836
3451,2,714340.6398, 7837
3452,2,714340.6550, 7838
3453,2,714340.6699, 7839
3454,2,714340.6861, 7840
3455,2,714340.7015, 7841
3456,2,714340.7173, 7842
3457,2,714340.7327, 7843
3458,2,714340.7487, 7844
3459,2,714340.7626, 7845
3460,2,714340.7957, 7846
3461,2,714340.8120, 7847
3462,2,714340.8305, 7848
3463,2,714340.8451, 7849
3464,2,714340.8620, 7850
3465,2,714340.8786, 7851
3466,2,714340.8942, 7852
3467,2,714340.9091, 7853
3468,2,714340.9264, 7854
3469,2,714340.9425, 7855
3470,2,714340.9595, 7856
3471,2,714340.9750, 7857
3472,2,714340.9896, 7858
3473,2,714341.0053, 7859
3474,2,714341.0222, 7860
3475,2,714341.0382, 7861
3476,2,714341.0536, 7862
3477,2,714341.0690, 7863
3478,2,714341.0834, 7864
3479,2,714341.0992, 7865
3480,2,714341.1149, 7866
3481,2,714341.1313, 7867
3482,2,714341.1476, 7868
3483,2,714341.1668, 7869
3484,2,714341.1985, 7870
3485,2,714341.2143, 7871
3486,2,714341.2317, 7872
3487,2,714341.2502, 7873
3488,2,714341.2660, 7874
3489,2,714341.2781, 7875
3490,2,714341.2920, 7876
3491,2,714341.3079, 7877
3492,2,714341.3236, 7878
3493,2,714341.3405, 7879
3494,2,714341.3563, 7880
3495,2,714341.3723, 7881
3496,2,714341.3878, 7882
3497,2,714341.4044, 7883
3498,2,714341.4203, 7884
3499,2,714341.4387, 7885
3500,2,714341.4546, 7886
3501,2,714341.4709, 7887
3502,2,714341.4865, 7888
3503,2,714341.5019, 7889
3504,2,714341.5190, 7890
3505,2,714341.5344, 7891
3506,2,714341.5505, 7892
3507,2,714341.5821, 7893
3508,2,714341.5962, 7894
3509,2,714341.6114, 7895
3510,2,714341.6291, 7896
3511,2,714341.6443, 7897
3512,2,714341.6603, 7898
3513,2,714341.6751, 7899
3514,2,714341.6911, 7900
3515,2,714341.7076, 7901
3516,2,714341.7244, 7902
3517,2,714341.7421, 7903
3518,2,714341.7581, 7904
3519,2,714341.7748, 7905
3520,2,714341.7913, 7906
3521,2,714341.8063, 7907
3522,2,714341.8405, 7908
3523,2,714341.8469, 7909
3524,2,714341.8546, 7910
3525,2,714341.8693, 7911
3526,2,714341.8861, 7912
3527,2,714341.9019, 7913
3528,2,714341.9165, 7914
3529,2,714341.9305, 7915
3530,2,714341.9463, 7916
3531,2,714341.9800, 7917
3532,2,714341.9960, 7918
3533,2,714342.0116, 7919
3534,2,714342.0304, 7920
3535,2,714342.0465, 7921
3536,2,714342.0634, 7922
3537,2,714342.0792, 7923
3538,2,714342.0955, 7924
3539,2,714342.1107, 7925
3540,2,714342.1263, 7926
3541,2,714342.1421, 7927
3542,2,714342.1574, 7928
3543,2,714342.1724, 7929
3544,2,714342.1890, 7930
3545,2,714342.2049, 7931
3546,2,714342.2219, 7932
3547,2,714342.2353, 7933
3548,2,714342.2504, 7934
3549,2,714342.2676, 7935
3550,2,714342.2844, 7936
3551,2,714342.2994, 7937
3552,2,714342.3191, 7938
3553,2,714342.3332, 7939
3554,2,714342.3650, 7940
